005  00115 |Loss: 2.132683 | Acc: 43.000% 
005  00116 |Loss: 2.238319 | Acc: 42.000% 
005  00117 |Loss: 2.118655 | Acc: 46.000% 
005  00118 |Loss: 2.177990 | Acc: 43.000% 
005  00119 |Loss: 1.973283 | Acc: 48.000% 
005  00120 |Loss: 1.837897 | Acc: 52.000% 
005  00121 |Loss: 1.808795 | Acc: 53.000% 
005  00122 |Loss: 1.828806 | Acc: 53.000% 
005  00123 |Loss: 1.876494 | Acc: 51.000% 
005  00124 |Loss: 1.859903 | Acc: 52.000% 
005  00125 |Loss: 1.798394 | Acc: 53.000% 
005  00126 |Loss: 1.815594 | Acc: 53.000% 
005  00127 |Loss: 1.820938 | Acc: 53.000% 
005  00128 |Loss: 1.779254 | Acc: 54.000% 
005  00129 |Loss: 1.743330 | Acc: 55.000% 
005  00130 |Loss: 1.816150 | Acc: 53.000% 
005  00131 |Loss: 1.745426 | Acc: 55.000% 
005  00132 |Loss: 1.784057 | Acc: 54.000% 
005  00133 |Loss: 1.754114 | Acc: 54.000% 
005  00134 |Loss: 1.752865 | Acc: 54.000% 
005  00135 |Loss: 1.764117 | Acc: 54.000% 
005  00136 |Loss: 1.816351 | Acc: 53.000% 
005  00137 |Loss: 1.822821 | Acc: 53.000% 
005  00138 |Loss: 1.868529 | Acc: 52.000% 
005  00139 |Loss: 1.842496 | Acc: 52.000% 
005  00140 |Loss: 1.806812 | Acc: 53.000% 
006  00141 |Loss: 1.146665 | Acc: 60.000% 
006  00142 |Loss: 1.526931 | Acc: 55.000% 
006  00143 |Loss: 1.548182 | Acc: 53.000% 
006  00144 |Loss: 1.857205 | Acc: 47.000% 
006  00145 |Loss: 1.851503 | Acc: 48.000% 
006  00146 |Loss: 1.809142 | Acc: 50.000% 
006  00147 |Loss: 1.778211 | Acc: 51.000% 
006  00148 |Loss: 1.745116 | Acc: 52.000% 
006  00149 |Loss: 1.804825 | Acc: 51.000% 
006  00150 |Loss: 1.726390 | Acc: 54.000% 
006  00151 |Loss: 1.807837 | Acc: 51.000% 
006  00152 |Loss: 1.725099 | Acc: 54.000% 
006  00153 |Loss: 1.807912 | Acc: 53.000% 
006  00154 |Loss: 1.796689 | Acc: 52.000% 
006  00155 |Loss: 1.804124 | Acc: 52.000% 
006  00156 |Loss: 1.802332 | Acc: 53.000% 
006  00157 |Loss: 1.819859 | Acc: 52.000% 
006  00158 |Loss: 1.783192 | Acc: 53.000% 
006  00159 |Loss: 1.810367 | Acc: 53.000% 
006  00160 |Loss: 1.778178 | Acc: 54.000% 
006  00161 |Loss: 1.803743 | Acc: 53.000% 
006  00162 |Loss: 1.773441 | Acc: 54.000% 
006  00163 |Loss: 1.794553 | Acc: 53.000% 
006  00164 |Loss: 1.798814 | Acc: 53.000% 
006  00165 |Loss: 1.774231 | Acc: 54.000% 
006  00166 |Loss: 1.735315 | Acc: 55.000% 
006  00167 |Loss: 1.718819 | Acc: 55.000% 
006  00168 |Loss: 1.712795 | Acc: 55.000% 
007  00169 |Loss: 1.113987 | Acc: 70.000% 
007  00170 |Loss: 1.119339 | Acc: 70.000% 
007  00171 |Loss: 1.369373 | Acc: 63.000% 
007  00172 |Loss: 1.221174 | Acc: 67.000% 
007  00173 |Loss: 1.369928 | Acc: 64.000% 
007  00174 |Loss: 1.269846 | Acc: 66.000% 
007  00175 |Loss: 1.351956 | Acc: 64.000% 
007  00176 |Loss: 1.427381 | Acc: 62.000% 
007  00177 |Loss: 1.360436 | Acc: 64.000% 
007  00178 |Loss: 1.452545 | Acc: 62.000% 
007  00179 |Loss: 1.389987 | Acc: 63.000% 
007  00180 |Loss: 1.337684 | Acc: 65.000% 
007  00181 |Loss: 1.443240 | Acc: 62.000% 
007  00182 |Loss: 1.423254 | Acc: 62.000% 
007  00183 |Loss: 1.402365 | Acc: 63.000% 
007  00184 |Loss: 1.438299 | Acc: 62.000% 
007  00185 |Loss: 1.442895 | Acc: 62.000% 
007  00186 |Loss: 1.424669 | Acc: 62.000% 
007  00187 |Loss: 1.408885 | Acc: 63.000% 
007  00188 |Loss: 1.413407 | Acc: 63.000% 
007  00189 |Loss: 1.436229 | Acc: 62.000% 
007  00190 |Loss: 1.457089 | Acc: 61.000% 
007  00191 |Loss: 1.508411 | Acc: 60.000% 
007  00192 |Loss: 1.525747 | Acc: 60.000% 
007  00193 |Loss: 1.525188 | Acc: 60.000% 
007  00194 |Loss: 1.537926 | Acc: 59.000% 
007  00195 |Loss: 1.508669 | Acc: 60.000% 
007  00196 |Loss: 1.564024 | Acc: 58.000% 
008  00197 |Loss: 1.858896 | Acc: 50.000% 
008  00198 |Loss: 1.118980 | Acc: 70.000% 
008  00199 |Loss: 1.363166 | Acc: 63.000% 
008  00200 |Loss: 1.577746 | Acc: 57.000% 
008  00201 |Loss: 1.485587 | Acc: 60.000% 
008  00202 |Loss: 1.609339 | Acc: 56.000% 
008  00203 |Loss: 1.643699 | Acc: 55.000% 
008  00204 |Loss: 1.715779 | Acc: 53.000% 
008  00205 |Loss: 1.738368 | Acc: 53.000% 
008  00206 |Loss: 1.822839 | Acc: 51.000% 
008  00207 |Loss: 1.791902 | Acc: 51.000% 
008  00208 |Loss: 1.709325 | Acc: 54.000% 
008  00209 |Loss: 1.693844 | Acc: 54.000% 
008  00210 |Loss: 1.678333 | Acc: 55.000% 
008  00211 |Loss: 1.641235 | Acc: 56.000% 
008  00212 |Loss: 1.587798 | Acc: 57.000% 
008  00213 |Loss: 1.559745 | Acc: 58.000% 
008  00214 |Loss: 1.535679 | Acc: 58.000% 
008  00215 |Loss: 1.571972 | Acc: 57.000% 
008  00216 |Loss: 1.530394 | Acc: 59.000% 
008  00217 |Loss: 1.511345 | Acc: 59.000% 
008  00218 |Loss: 1.526763 | Acc: 59.000% 
008  00219 |Loss: 1.508642 | Acc: 59.000% 
008  00220 |Loss: 1.493136 | Acc: 60.000% 
008  00221 |Loss: 1.507810 | Acc: 59.000% 
008  00222 |Loss: 1.478610 | Acc: 60.000% 
008  00223 |Loss: 1.492917 | Acc: 60.000% 
008  00224 |Loss: 1.532338 | Acc: 58.000% 
009  00225 |Loss: 1.488689 | Acc: 60.000% 
009  00226 |Loss: 1.321348 | Acc: 65.000% 
009  00227 |Loss: 1.622890 | Acc: 56.000% 
009  00228 |Loss: 1.771004 | Acc: 52.000% 
009  00229 |Loss: 1.787117 | Acc: 52.000% 
009  00230 |Loss: 1.735348 | Acc: 53.000% 
009  00231 |Loss: 1.751096 | Acc: 52.000% 
009  00232 |Loss: 1.670753 | Acc: 55.000% 
009  00233 |Loss: 1.567729 | Acc: 57.000% 
009  00234 |Loss: 1.559791 | Acc: 58.000% 
009  00235 |Loss: 1.619435 | Acc: 56.000% 
009  00236 |Loss: 1.484875 | Acc: 60.000% 
009  00237 |Loss: 1.456721 | Acc: 60.000% 
009  00238 |Loss: 1.510870 | Acc: 59.000% 
009  00239 |Loss: 1.484902 | Acc: 60.000% 
009  00240 |Loss: 1.484409 | Acc: 60.000% 
009  00241 |Loss: 1.527424 | Acc: 58.000% 
009  00242 |Loss: 1.524591 | Acc: 58.000% 
009  00243 |Loss: 1.522092 | Acc: 58.000% 
009  00244 |Loss: 1.519886 | Acc: 59.000% 
009  00245 |Loss: 1.483024 | Acc: 60.000% 
009  00246 |Loss: 1.500042 | Acc: 59.000% 
009  00247 |Loss: 1.515086 | Acc: 59.000% 
009  00248 |Loss: 1.513471 | Acc: 59.000% 
009  00249 |Loss: 1.541542 | Acc: 58.000% 
009  00250 |Loss: 1.496574 | Acc: 59.000% 
009  00251 |Loss: 1.496066 | Acc: 59.000% 
009  00252 |Loss: 1.521699 | Acc: 58.000% 
010  00253 |Loss: 0.371415 | Acc: 90.000% 
010  00254 |Loss: 1.661706 | Acc: 55.000% 
010  00255 |Loss: 1.600094 | Acc: 56.000% 
010  00256 |Loss: 1.754027 | Acc: 52.000% 
010  00257 |Loss: 1.625316 | Acc: 56.000% 
010  00258 |Loss: 1.601151 | Acc: 56.000% 
010  00259 |Loss: 1.636216 | Acc: 55.000% 
010  00260 |Loss: 1.570154 | Acc: 57.000% 
010  00261 |Loss: 1.478444 | Acc: 60.000% 
010  00262 |Loss: 1.515057 | Acc: 59.000% 
010  00263 |Loss: 1.511555 | Acc: 59.000% 
010  00264 |Loss: 1.508726 | Acc: 59.000% 
010  00265 |Loss: 1.506257 | Acc: 59.000% 
010  00266 |Loss: 1.477931 | Acc: 60.000% 
010  00267 |Loss: 1.502433 | Acc: 59.000% 
010  00268 |Loss: 1.432000 | Acc: 61.000% 
010  00269 |Loss: 1.434599 | Acc: 61.000% 
010  00270 |Loss: 1.477873 | Acc: 60.000% 
010  00271 |Loss: 1.477790 | Acc: 60.000% 
010  00272 |Loss: 1.459280 | Acc: 60.000% 
010  00273 |Loss: 1.460332 | Acc: 60.000% 
010  00274 |Loss: 1.477906 | Acc: 60.000% 
010  00275 |Loss: 1.461802 | Acc: 60.000% 
010  00276 |Loss: 1.477851 | Acc: 60.000% 
010  00277 |Loss: 1.477766 | Acc: 60.000% 
010  00278 |Loss: 1.491925 | Acc: 59.000% 
010  00279 |Loss: 1.491361 | Acc: 59.000% 
010  00280 |Loss: 1.517179 | Acc: 58.000% 
011  00281 |Loss: 1.475956 | Acc: 60.000% 
011  00282 |Loss: 1.477630 | Acc: 60.000% 
011  00283 |Loss: 1.354385 | Acc: 63.000% 
011  00284 |Loss: 1.661396 | Acc: 55.000% 
011  00285 |Loss: 1.845882 | Acc: 50.000% 
011  00286 |Loss: 1.723031 | Acc: 53.000% 
011  00287 |Loss: 1.635046 | Acc: 55.000% 
011  00288 |Loss: 1.615163 | Acc: 56.000% 
011  00289 |Loss: 1.599696 | Acc: 56.000% 
011  00290 |Loss: 1.624191 | Acc: 56.000% 
011  00291 |Loss: 1.644324 | Acc: 55.000% 
011  00292 |Loss: 1.661128 | Acc: 55.000% 
011  00293 |Loss: 1.561870 | Acc: 57.000% 
011  00294 |Loss: 1.582234 | Acc: 57.000% 
011  00295 |Loss: 1.624385 | Acc: 56.000% 
011  00296 |Loss: 1.661203 | Acc: 55.000% 
011  00297 |Loss: 1.628653 | Acc: 55.000% 
011  00298 |Loss: 1.599723 | Acc: 56.000% 
011  00299 |Loss: 1.612613 | Acc: 56.000% 
011  00300 |Loss: 1.624272 | Acc: 56.000% 
011  00301 |Loss: 1.564538 | Acc: 57.000% 
011  00302 |Loss: 1.594063 | Acc: 56.000% 
011  00303 |Loss: 1.588994 | Acc: 56.000% 
011  00304 |Loss: 1.553571 | Acc: 57.000% 
011  00305 |Loss: 1.580288 | Acc: 57.000% 
011  00306 |Loss: 1.576295 | Acc: 57.000% 
011  00307 |Loss: 1.545263 | Acc: 58.000% 
011  00308 |Loss: 1.516458 | Acc: 58.000% 
012  00309 |Loss: 1.846251 | Acc: 50.000% 
012  00310 |Loss: 1.661465 | Acc: 55.000% 
012  00311 |Loss: 1.353890 | Acc: 63.000% 
012  00312 |Loss: 1.292142 | Acc: 65.000% 
012  00313 |Loss: 1.329020 | Acc: 64.000% 
012  00314 |Loss: 1.353453 | Acc: 63.000% 
012  00315 |Loss: 1.318721 | Acc: 64.000% 
012  00316 |Loss: 1.292582 | Acc: 65.000% 
012  00317 |Loss: 1.190201 | Acc: 67.000% 
012  00318 |Loss: 1.255663 | Acc: 66.000% 
012  00319 |Loss: 1.342744 | Acc: 63.000% 
012  00320 |Loss: 1.354004 | Acc: 63.000% 
012  00321 |Loss: 1.335036 | Acc: 63.000% 
012  00322 |Loss: 1.318887 | Acc: 64.000% 
012  00323 |Loss: 1.353936 | Acc: 63.000% 
012  00324 |Loss: 1.430761 | Acc: 61.000% 
012  00325 |Loss: 1.433408 | Acc: 61.000% 
012  00326 |Loss: 1.415313 | Acc: 61.000% 
012  00327 |Loss: 1.437954 | Acc: 61.000% 
012  00328 |Loss: 1.458325 | Acc: 60.000% 
012  00329 |Loss: 1.459280 | Acc: 60.000% 
012  00330 |Loss: 1.426549 | Acc: 61.000% 
012  00331 |Loss: 1.460763 | Acc: 60.000% 
012  00332 |Loss: 1.461424 | Acc: 60.000% 
012  00333 |Loss: 1.506341 | Acc: 59.000% 
012  00334 |Loss: 1.519375 | Acc: 58.000% 
012  00335 |Loss: 1.504102 | Acc: 59.000% 
012  00336 |Loss: 1.516272 | Acc: 58.000% 
013  00337 |Loss: 1.844541 | Acc: 50.000% 
013  00338 |Loss: 1.661449 | Acc: 55.000% 
013  00339 |Loss: 1.845435 | Acc: 50.000% 
013  00340 |Loss: 1.937492 | Acc: 47.000% 
013  00341 |Loss: 1.697659 | Acc: 54.000% 
013  00342 |Loss: 1.599337 | Acc: 56.000% 
013  00343 |Loss: 1.687271 | Acc: 54.000% 
013  00344 |Loss: 1.753214 | Acc: 52.000% 
013  00345 |Loss: 1.722468 | Acc: 53.000% 
013  00346 |Loss: 1.734816 | Acc: 53.000% 
013  00347 |Loss: 1.677771 | Acc: 54.000% 
013  00348 |Loss: 1.660945 | Acc: 55.000% 
013  00349 |Loss: 1.675086 | Acc: 54.000% 
013  00350 |Loss: 1.660900 | Acc: 55.000% 
013  00351 |Loss: 1.624010 | Acc: 56.000% 
013  00352 |Loss: 1.591710 | Acc: 56.000% 
013  00353 |Loss: 1.628295 | Acc: 55.000% 
013  00354 |Loss: 1.599338 | Acc: 56.000% 
013  00355 |Loss: 1.612255 | Acc: 56.000% 
013  00356 |Loss: 1.550138 | Acc: 58.000% 
013  00357 |Loss: 1.564180 | Acc: 57.000% 
013  00358 |Loss: 1.543407 | Acc: 58.000% 
013  00359 |Loss: 1.476400 | Acc: 60.000% 
013  00360 |Loss: 1.507142 | Acc: 59.000% 
013  00361 |Loss: 1.505893 | Acc: 59.000% 
013  00362 |Loss: 1.490561 | Acc: 59.000% 
013  00363 |Loss: 1.517351 | Acc: 58.000% 
013  00364 |Loss: 1.515913 | Acc: 58.000% 
014  00365 |Loss: 1.109059 | Acc: 70.000% 
014  00366 |Loss: 1.477467 | Acc: 60.000% 
014  00367 |Loss: 1.231402 | Acc: 66.000% 
014  00368 |Loss: 1.108323 | Acc: 70.000% 
014  00369 |Loss: 1.329429 | Acc: 64.000% 
014  00370 |Loss: 1.292350 | Acc: 65.000% 
014  00371 |Loss: 1.107897 | Acc: 70.000% 
014  00372 |Loss: 1.246152 | Acc: 66.000% 
014  00373 |Loss: 1.271691 | Acc: 65.000% 
014  00374 |Loss: 1.292099 | Acc: 65.000% 
014  00375 |Loss: 1.275268 | Acc: 65.000% 
014  00376 |Loss: 1.353489 | Acc: 63.000% 
