005  00115 |Loss: 1.507088 | Acc: 96.000% 
005  00116 |Loss: 1.500875 | Acc: 95.000% 
005  00117 |Loss: 1.446007 | Acc: 96.000% 
005  00118 |Loss: 1.493196 | Acc: 93.000% 
005  00119 |Loss: 1.471477 | Acc: 94.000% 
005  00120 |Loss: 1.457255 | Acc: 95.000% 
005  00121 |Loss: 1.446645 | Acc: 95.000% 
005  00122 |Loss: 1.472006 | Acc: 94.000% 
005  00123 |Loss: 1.458240 | Acc: 94.000% 
005  00124 |Loss: 1.444786 | Acc: 95.000% 
005  00125 |Loss: 1.449064 | Acc: 94.000% 
005  00126 |Loss: 1.428055 | Acc: 95.000% 
005  00127 |Loss: 1.416093 | Acc: 95.000% 
005  00128 |Loss: 1.403403 | Acc: 95.000% 
005  00129 |Loss: 1.385015 | Acc: 95.000% 
005  00130 |Loss: 1.380734 | Acc: 95.000% 
005  00131 |Loss: 1.384474 | Acc: 95.000% 
005  00132 |Loss: 1.372388 | Acc: 95.000% 
005  00133 |Loss: 1.370431 | Acc: 95.000% 
005  00134 |Loss: 1.362061 | Acc: 95.000% 
005  00135 |Loss: 1.381873 | Acc: 95.000% 
005  00136 |Loss: 1.373501 | Acc: 95.000% 
005  00137 |Loss: 1.360854 | Acc: 95.000% 
005  00138 |Loss: 1.355948 | Acc: 95.000% 
005  00139 |Loss: 1.370072 | Acc: 94.000% 
005  00140 |Loss: 1.363924 | Acc: 95.000% 
006  00141 |Loss: 0.975951 | Acc: 100.000% 
006  00142 |Loss: 1.020976 | Acc: 100.000% 
006  00143 |Loss: 0.954713 | Acc: 100.000% 
006  00144 |Loss: 0.955350 | Acc: 100.000% 
006  00145 |Loss: 1.003185 | Acc: 98.000% 
006  00146 |Loss: 0.983734 | Acc: 98.000% 
006  00147 |Loss: 1.007908 | Acc: 97.000% 
006  00148 |Loss: 1.011691 | Acc: 96.000% 
006  00149 |Loss: 1.003635 | Acc: 96.000% 
006  00150 |Loss: 1.000809 | Acc: 96.000% 
006  00151 |Loss: 1.001450 | Acc: 96.000% 
006  00152 |Loss: 1.010713 | Acc: 96.000% 
006  00153 |Loss: 1.014410 | Acc: 96.000% 
006  00154 |Loss: 0.997312 | Acc: 97.000% 
006  00155 |Loss: 0.980526 | Acc: 97.000% 
006  00156 |Loss: 0.995314 | Acc: 96.000% 
006  00157 |Loss: 1.010099 | Acc: 96.000% 
006  00158 |Loss: 1.021064 | Acc: 96.000% 
006  00159 |Loss: 1.007437 | Acc: 96.000% 
006  00160 |Loss: 0.996969 | Acc: 96.000% 
006  00161 |Loss: 0.996262 | Acc: 96.000% 
006  00162 |Loss: 0.990128 | Acc: 96.000% 
006  00163 |Loss: 0.990640 | Acc: 96.000% 
006  00164 |Loss: 1.000209 | Acc: 96.000% 
006  00165 |Loss: 1.004200 | Acc: 96.000% 
006  00166 |Loss: 1.002471 | Acc: 96.000% 
006  00167 |Loss: 0.998868 | Acc: 96.000% 
006  00168 |Loss: 0.992541 | Acc: 96.000% 
007  00169 |Loss: 0.614872 | Acc: 100.000% 
007  00170 |Loss: 0.788269 | Acc: 95.000% 
007  00171 |Loss: 0.724678 | Acc: 96.000% 
007  00172 |Loss: 0.681377 | Acc: 97.000% 
007  00173 |Loss: 0.698876 | Acc: 98.000% 
007  00174 |Loss: 0.686797 | Acc: 98.000% 
007  00175 |Loss: 0.688102 | Acc: 98.000% 
007  00176 |Loss: 0.693400 | Acc: 98.000% 
007  00177 |Loss: 0.707618 | Acc: 98.000% 
007  00178 |Loss: 0.695634 | Acc: 99.000% 
007  00179 |Loss: 0.700203 | Acc: 99.000% 
007  00180 |Loss: 0.694742 | Acc: 99.000% 
007  00181 |Loss: 0.706503 | Acc: 98.000% 
007  00182 |Loss: 0.694109 | Acc: 98.000% 
007  00183 |Loss: 0.694072 | Acc: 98.000% 
007  00184 |Loss: 0.687430 | Acc: 98.000% 
007  00185 |Loss: 0.684107 | Acc: 98.000% 
007  00186 |Loss: 0.684541 | Acc: 98.000% 
007  00187 |Loss: 0.690285 | Acc: 97.000% 
007  00188 |Loss: 0.697571 | Acc: 98.000% 
007  00189 |Loss: 0.689506 | Acc: 98.000% 
007  00190 |Loss: 0.683476 | Acc: 98.000% 
007  00191 |Loss: 0.678042 | Acc: 98.000% 
007  00192 |Loss: 0.680747 | Acc: 98.000% 
007  00193 |Loss: 0.676632 | Acc: 98.000% 
007  00194 |Loss: 0.676906 | Acc: 98.000% 
007  00195 |Loss: 0.673287 | Acc: 98.000% 
007  00196 |Loss: 0.675267 | Acc: 97.000% 
008  00197 |Loss: 0.464088 | Acc: 100.000% 
008  00198 |Loss: 0.449934 | Acc: 100.000% 
008  00199 |Loss: 0.563043 | Acc: 100.000% 
008  00200 |Loss: 0.581003 | Acc: 100.000% 
008  00201 |Loss: 0.586094 | Acc: 100.000% 
008  00202 |Loss: 0.564207 | Acc: 100.000% 
008  00203 |Loss: 0.550684 | Acc: 100.000% 
008  00204 |Loss: 0.544940 | Acc: 100.000% 
008  00205 |Loss: 0.531155 | Acc: 100.000% 
008  00206 |Loss: 0.526597 | Acc: 100.000% 
