005  00115 |Loss: 3.302567 | Acc: 10.000% 
005  00116 |Loss: 3.312355 | Acc: 10.000% 
005  00117 |Loss: 3.275293 | Acc: 12.000% 
005  00118 |Loss: 3.299263 | Acc: 11.000% 
005  00119 |Loss: 3.286404 | Acc: 11.000% 
005  00120 |Loss: 3.263738 | Acc: 11.000% 
005  00121 |Loss: 3.230684 | Acc: 11.000% 
005  00122 |Loss: 3.255523 | Acc: 10.000% 
005  00123 |Loss: 3.262478 | Acc: 10.000% 
005  00124 |Loss: 3.279045 | Acc: 10.000% 
005  00125 |Loss: 3.269626 | Acc: 10.000% 
005  00126 |Loss: 3.263246 | Acc: 9.000% 
005  00127 |Loss: 3.233612 | Acc: 9.000% 
005  00128 |Loss: 3.236294 | Acc: 8.000% 
005  00129 |Loss: 3.244395 | Acc: 8.000% 
005  00130 |Loss: 3.183054 | Acc: 11.000% 
005  00131 |Loss: 3.192721 | Acc: 11.000% 
005  00132 |Loss: 3.235452 | Acc: 10.000% 
005  00133 |Loss: 3.271893 | Acc: 10.000% 
005  00134 |Loss: 3.296594 | Acc: 10.000% 
005  00135 |Loss: 3.275561 | Acc: 10.000% 
005  00136 |Loss: 3.276151 | Acc: 10.000% 
005  00137 |Loss: 3.265652 | Acc: 10.000% 
005  00138 |Loss: 3.262806 | Acc: 10.000% 
005  00139 |Loss: 3.275934 | Acc: 10.000% 
005  00140 |Loss: 3.281061 | Acc: 10.000% 
006  00141 |Loss: 2.620804 | Acc: 20.000% 
006  00142 |Loss: 2.754439 | Acc: 25.000% 
006  00143 |Loss: 3.095136 | Acc: 20.000% 
006  00144 |Loss: 3.130761 | Acc: 15.000% 
006  00145 |Loss: 3.080077 | Acc: 16.000% 
006  00146 |Loss: 3.018931 | Acc: 16.000% 
006  00147 |Loss: 3.122444 | Acc: 14.000% 
006  00148 |Loss: 3.016777 | Acc: 17.000% 
006  00149 |Loss: 3.021081 | Acc: 16.000% 
006  00150 |Loss: 2.938211 | Acc: 17.000% 
006  00151 |Loss: 2.966945 | Acc: 16.000% 
006  00152 |Loss: 3.004977 | Acc: 15.000% 
006  00153 |Loss: 3.040075 | Acc: 14.000% 
006  00154 |Loss: 3.145971 | Acc: 13.000% 
006  00155 |Loss: 3.118645 | Acc: 14.000% 
006  00156 |Loss: 3.166100 | Acc: 13.000% 
006  00157 |Loss: 3.173430 | Acc: 12.000% 
006  00158 |Loss: 3.182734 | Acc: 12.000% 
006  00159 |Loss: 3.178847 | Acc: 12.000% 
006  00160 |Loss: 3.176077 | Acc: 13.000% 
006  00161 |Loss: 3.181584 | Acc: 12.000% 
006  00162 |Loss: 3.203715 | Acc: 12.000% 
006  00163 |Loss: 3.221529 | Acc: 12.000% 
006  00164 |Loss: 3.205852 | Acc: 12.000% 
006  00165 |Loss: 3.235254 | Acc: 12.000% 
006  00166 |Loss: 3.234414 | Acc: 11.000% 
006  00167 |Loss: 3.208998 | Acc: 12.000% 
006  00168 |Loss: 3.189866 | Acc: 12.000% 
007  00169 |Loss: 2.600116 | Acc: 30.000% 
007  00170 |Loss: 2.549329 | Acc: 30.000% 
007  00171 |Loss: 2.728229 | Acc: 20.000% 
007  00172 |Loss: 2.948113 | Acc: 17.000% 
007  00173 |Loss: 2.893663 | Acc: 18.000% 
007  00174 |Loss: 2.931543 | Acc: 18.000% 
007  00175 |Loss: 2.896391 | Acc: 17.000% 
007  00176 |Loss: 2.882492 | Acc: 21.000% 
007  00177 |Loss: 2.889781 | Acc: 18.000% 
007  00178 |Loss: 2.995809 | Acc: 18.000% 
007  00179 |Loss: 2.941101 | Acc: 19.000% 
007  00180 |Loss: 2.994770 | Acc: 18.000% 
007  00181 |Loss: 3.001452 | Acc: 16.000% 
007  00182 |Loss: 2.955103 | Acc: 18.000% 
007  00183 |Loss: 2.941993 | Acc: 19.000% 
007  00184 |Loss: 2.964854 | Acc: 18.000% 
007  00185 |Loss: 2.943143 | Acc: 18.000% 
007  00186 |Loss: 2.958126 | Acc: 17.000% 
007  00187 |Loss: 2.928379 | Acc: 19.000% 
007  00188 |Loss: 2.943732 | Acc: 19.000% 
007  00189 |Loss: 2.918007 | Acc: 20.000% 
007  00190 |Loss: 2.922368 | Acc: 19.000% 
007  00191 |Loss: 2.929189 | Acc: 19.000% 
007  00192 |Loss: 2.945599 | Acc: 18.000% 
007  00193 |Loss: 2.951192 | Acc: 18.000% 
007  00194 |Loss: 2.959802 | Acc: 18.000% 
007  00195 |Loss: 2.962647 | Acc: 17.000% 
007  00196 |Loss: 2.954496 | Acc: 17.000% 
008  00197 |Loss: 2.804728 | Acc: 10.000% 
008  00198 |Loss: 2.911871 | Acc: 15.000% 
008  00199 |Loss: 2.957105 | Acc: 20.000% 
008  00200 |Loss: 2.875715 | Acc: 22.000% 
008  00201 |Loss: 2.910319 | Acc: 22.000% 
008  00202 |Loss: 3.004702 | Acc: 18.000% 
008  00203 |Loss: 2.943668 | Acc: 17.000% 
008  00204 |Loss: 2.950844 | Acc: 18.000% 
008  00205 |Loss: 2.969218 | Acc: 18.000% 
008  00206 |Loss: 2.986227 | Acc: 18.000% 
008  00207 |Loss: 2.924789 | Acc: 19.000% 
008  00208 |Loss: 2.871592 | Acc: 19.000% 
008  00209 |Loss: 2.849996 | Acc: 20.000% 
008  00210 |Loss: 2.870891 | Acc: 19.000% 
008  00211 |Loss: 2.866889 | Acc: 19.000% 
008  00212 |Loss: 2.869233 | Acc: 20.000% 
008  00213 |Loss: 2.892475 | Acc: 19.000% 
008  00214 |Loss: 2.923600 | Acc: 18.000% 
008  00215 |Loss: 2.971245 | Acc: 17.000% 
008  00216 |Loss: 2.966862 | Acc: 17.000% 
008  00217 |Loss: 2.956735 | Acc: 17.000% 
008  00218 |Loss: 2.951608 | Acc: 18.000% 
008  00219 |Loss: 2.976846 | Acc: 17.000% 
008  00220 |Loss: 2.993637 | Acc: 17.000% 
008  00221 |Loss: 2.989754 | Acc: 18.000% 
008  00222 |Loss: 3.011251 | Acc: 18.000% 
008  00223 |Loss: 3.020492 | Acc: 18.000% 
008  00224 |Loss: 3.033381 | Acc: 18.000% 
009  00225 |Loss: 2.407690 | Acc: 30.000% 
009  00226 |Loss: 2.955897 | Acc: 20.000% 
009  00227 |Loss: 2.816359 | Acc: 16.000% 
009  00228 |Loss: 2.694560 | Acc: 17.000% 
009  00229 |Loss: 2.826351 | Acc: 16.000% 
009  00230 |Loss: 2.874753 | Acc: 15.000% 
009  00231 |Loss: 2.811017 | Acc: 15.000% 
009  00232 |Loss: 2.715364 | Acc: 18.000% 
009  00233 |Loss: 2.769033 | Acc: 17.000% 
009  00234 |Loss: 2.781654 | Acc: 17.000% 
009  00235 |Loss: 2.761845 | Acc: 17.000% 
009  00236 |Loss: 2.755557 | Acc: 18.000% 
009  00237 |Loss: 2.749883 | Acc: 17.000% 
009  00238 |Loss: 2.721564 | Acc: 19.000% 
009  00239 |Loss: 2.779154 | Acc: 18.000% 
009  00240 |Loss: 2.771341 | Acc: 20.000% 
009  00241 |Loss: 2.834131 | Acc: 18.000% 
009  00242 |Loss: 2.857107 | Acc: 18.000% 
009  00243 |Loss: 2.876901 | Acc: 17.000% 
009  00244 |Loss: 2.884037 | Acc: 17.000% 
009  00245 |Loss: 2.876597 | Acc: 17.000% 
009  00246 |Loss: 2.917651 | Acc: 16.000% 
009  00247 |Loss: 2.885820 | Acc: 16.000% 
009  00248 |Loss: 2.885205 | Acc: 17.000% 
009  00249 |Loss: 2.897264 | Acc: 16.000% 
009  00250 |Loss: 2.894860 | Acc: 16.000% 
009  00251 |Loss: 2.901458 | Acc: 16.000% 
009  00252 |Loss: 2.909739 | Acc: 16.000% 
010  00253 |Loss: 3.041613 | Acc: 20.000% 
010  00254 |Loss: 2.929393 | Acc: 25.000% 
010  00255 |Loss: 2.708113 | Acc: 30.000% 
010  00256 |Loss: 2.733988 | Acc: 22.000% 
010  00257 |Loss: 2.856623 | Acc: 18.000% 
010  00258 |Loss: 2.842809 | Acc: 20.000% 
010  00259 |Loss: 2.965939 | Acc: 17.000% 
010  00260 |Loss: 3.052986 | Acc: 17.000% 
010  00261 |Loss: 3.045934 | Acc: 18.000% 
010  00262 |Loss: 3.007414 | Acc: 20.000% 
010  00263 |Loss: 3.028919 | Acc: 20.000% 
010  00264 |Loss: 2.999812 | Acc: 20.000% 
010  00265 |Loss: 2.987487 | Acc: 20.000% 
010  00266 |Loss: 2.980852 | Acc: 20.000% 
010  00267 |Loss: 2.957468 | Acc: 21.000% 
010  00268 |Loss: 2.958947 | Acc: 21.000% 
010  00269 |Loss: 2.956869 | Acc: 21.000% 
010  00270 |Loss: 2.982909 | Acc: 21.000% 
010  00271 |Loss: 2.963870 | Acc: 21.000% 
010  00272 |Loss: 2.959695 | Acc: 21.000% 
010  00273 |Loss: 2.972935 | Acc: 21.000% 
010  00274 |Loss: 2.945765 | Acc: 21.000% 
010  00275 |Loss: 2.954711 | Acc: 20.000% 
010  00276 |Loss: 2.965546 | Acc: 21.000% 
010  00277 |Loss: 2.952781 | Acc: 21.000% 
010  00278 |Loss: 2.936811 | Acc: 21.000% 
010  00279 |Loss: 2.936555 | Acc: 20.000% 
010  00280 |Loss: 2.953945 | Acc: 20.000% 
011  00281 |Loss: 2.072922 | Acc: 50.000% 
011  00282 |Loss: 2.348758 | Acc: 35.000% 
011  00283 |Loss: 2.433026 | Acc: 36.000% 
011  00284 |Loss: 2.378783 | Acc: 40.000% 
011  00285 |Loss: 2.350559 | Acc: 42.000% 
011  00286 |Loss: 2.420134 | Acc: 40.000% 
011  00287 |Loss: 2.612235 | Acc: 34.000% 
011  00288 |Loss: 2.695244 | Acc: 32.000% 
011  00289 |Loss: 2.640924 | Acc: 33.000% 
011  00290 |Loss: 2.726614 | Acc: 33.000% 
011  00291 |Loss: 2.852411 | Acc: 30.000% 
011  00292 |Loss: 2.852680 | Acc: 30.000% 
011  00293 |Loss: 2.796934 | Acc: 31.000% 
011  00294 |Loss: 2.772677 | Acc: 32.000% 
011  00295 |Loss: 2.752280 | Acc: 32.000% 
011  00296 |Loss: 2.762124 | Acc: 32.000% 
011  00297 |Loss: 2.760912 | Acc: 31.000% 
011  00298 |Loss: 2.736675 | Acc: 31.000% 
011  00299 |Loss: 2.726936 | Acc: 31.000% 
011  00300 |Loss: 2.722800 | Acc: 31.000% 
011  00301 |Loss: 2.713825 | Acc: 31.000% 
011  00302 |Loss: 2.681560 | Acc: 32.000% 
011  00303 |Loss: 2.670543 | Acc: 31.000% 
011  00304 |Loss: 2.682223 | Acc: 30.000% 
011  00305 |Loss: 2.676578 | Acc: 30.000% 
011  00306 |Loss: 2.692806 | Acc: 30.000% 
011  00307 |Loss: 2.699136 | Acc: 29.000% 
011  00308 |Loss: 2.678691 | Acc: 28.000% 
012  00309 |Loss: 2.877871 | Acc: 10.000% 
012  00310 |Loss: 2.636349 | Acc: 20.000% 
012  00311 |Loss: 2.719906 | Acc: 20.000% 
012  00312 |Loss: 2.734501 | Acc: 22.000% 
012  00313 |Loss: 2.643897 | Acc: 26.000% 
012  00314 |Loss: 2.642160 | Acc: 25.000% 
012  00315 |Loss: 2.640578 | Acc: 22.000% 
012  00316 |Loss: 2.662685 | Acc: 23.000% 
012  00317 |Loss: 2.598219 | Acc: 26.000% 
012  00318 |Loss: 2.665864 | Acc: 25.000% 
012  00319 |Loss: 2.780266 | Acc: 24.000% 
012  00320 |Loss: 2.797743 | Acc: 24.000% 
012  00321 |Loss: 2.846544 | Acc: 22.000% 
012  00322 |Loss: 2.795638 | Acc: 23.000% 
012  00323 |Loss: 2.800350 | Acc: 22.000% 
012  00324 |Loss: 2.777929 | Acc: 23.000% 
012  00325 |Loss: 2.762708 | Acc: 25.000% 
012  00326 |Loss: 2.761082 | Acc: 25.000% 
012  00327 |Loss: 2.773973 | Acc: 24.000% 
012  00328 |Loss: 2.746517 | Acc: 24.000% 
012  00329 |Loss: 2.782121 | Acc: 23.000% 
012  00330 |Loss: 2.769517 | Acc: 24.000% 
012  00331 |Loss: 2.745097 | Acc: 25.000% 
012  00332 |Loss: 2.696013 | Acc: 26.000% 
012  00333 |Loss: 2.699195 | Acc: 26.000% 
012  00334 |Loss: 2.692872 | Acc: 25.000% 
012  00335 |Loss: 2.692142 | Acc: 25.000% 
012  00336 |Loss: 2.689442 | Acc: 25.000% 
013  00337 |Loss: 2.422071 | Acc: 20.000% 
013  00338 |Loss: 2.977446 | Acc: 15.000% 
013  00339 |Loss: 2.818489 | Acc: 20.000% 
013  00340 |Loss: 2.863167 | Acc: 20.000% 
013  00341 |Loss: 2.764380 | Acc: 22.000% 
013  00342 |Loss: 2.714537 | Acc: 25.000% 
013  00343 |Loss: 2.585858 | Acc: 27.000% 
013  00344 |Loss: 2.529852 | Acc: 28.000% 
