005  00115 |Loss: 3.589660 | Acc: 3.000% 
005  00116 |Loss: 3.553431 | Acc: 2.000% 
005  00117 |Loss: 3.769582 | Acc: 2.000% 
005  00118 |Loss: 3.599167 | Acc: 3.000% 
005  00119 |Loss: 3.559119 | Acc: 2.000% 
005  00120 |Loss: 3.576307 | Acc: 2.000% 
005  00121 |Loss: 3.545640 | Acc: 3.000% 
005  00122 |Loss: 3.515796 | Acc: 5.000% 
005  00123 |Loss: 3.447392 | Acc: 6.000% 
005  00124 |Loss: 3.454921 | Acc: 6.000% 
005  00125 |Loss: 3.396453 | Acc: 7.000% 
005  00126 |Loss: 3.404984 | Acc: 7.000% 
005  00127 |Loss: 3.317030 | Acc: 9.000% 
005  00128 |Loss: 3.294109 | Acc: 9.000% 
005  00129 |Loss: 3.284887 | Acc: 9.000% 
005  00130 |Loss: 3.276411 | Acc: 11.000% 
005  00131 |Loss: 3.292920 | Acc: 10.000% 
005  00132 |Loss: 3.291008 | Acc: 10.000% 
005  00133 |Loss: 3.316562 | Acc: 9.000% 
005  00134 |Loss: 3.312551 | Acc: 10.000% 
005  00135 |Loss: 3.300065 | Acc: 10.000% 
005  00136 |Loss: 3.312799 | Acc: 10.000% 
005  00137 |Loss: 3.308878 | Acc: 10.000% 
005  00138 |Loss: 3.288296 | Acc: 10.000% 
005  00139 |Loss: 3.280008 | Acc: 10.000% 
005  00140 |Loss: 3.299940 | Acc: 10.000% 
006  00141 |Loss: 3.212651 | Acc: 10.000% 
006  00142 |Loss: 3.064852 | Acc: 5.000% 
006  00143 |Loss: 2.940131 | Acc: 10.000% 
006  00144 |Loss: 3.080926 | Acc: 12.000% 
006  00145 |Loss: 3.046977 | Acc: 14.000% 
006  00146 |Loss: 3.042875 | Acc: 15.000% 
006  00147 |Loss: 3.110429 | Acc: 14.000% 
006  00148 |Loss: 3.169802 | Acc: 12.000% 
006  00149 |Loss: 3.160680 | Acc: 12.000% 
006  00150 |Loss: 3.178266 | Acc: 11.000% 
006  00151 |Loss: 3.204537 | Acc: 10.000% 
006  00152 |Loss: 3.190034 | Acc: 9.000% 
